stw:,rel,wd:,issue,note
30083-1,>,Q4127,#1,
12964-6,*,Q14373,#17,Mehrfach-Match in WD
12964-6,*,Q11202642,#17,Mehrfach-Match in WD
13635-6,*,Q1956672,#18,
18440-3,>,Q274393,#30,
12025-3,*,Q16148831,,Mehrfach-Match in WD
18766-1,>,Q80993,,Mehrfach-Match in WD
14004-1,*,Q4178004,,Mehrfach-Match in WD
13678-2,*,Q243961,,Mehrfach-Match in WD
15606-3,>,Q1381169,,Mehrfach-Match in WD
19521-5,>,Q24716636,,Mehrfach-Match in WD
11825-4,>,Q20191874,,Mehrfach-Match in WD
11401-6,>,Q207137,,Mehrfach-Match in WD
13372-5,>,Q1774898,,Mehrfach-Match in WD
